	2theta	BCC_112	2theta	BCC_200	2theta	BCC_220	2theta	BCC_110/FCC_111	2theta	FCC_200	2theta	FCC_222	2theta	FCC_311
149.00000	79.02326	00.00000	62.82326	00.00000	93.82326	00.00000	43.42326	00.00000	49.62326	00.00000	90.82326	00.00000	86.42326	00.00000
150.00000	79.01500	00.00000	62.81500	00.00000	93.81500	00.00000	43.41500	00.00000	49.61500	00.00000	90.81500	00.00000	86.41500	00.00000
151.00000	79.00674	00.00000	62.80674	00.00000	93.80674	00.00000	43.40674	00.00000	49.60674	00.00000	90.80674	00.00000	86.40674	00.00000
152.00000	78.99848	00.00000	62.79848	00.00000	93.79848	00.00000	43.39848	00.00000	49.59848	00.00000	90.79848	00.00000	86.39848	00.00000
153.00000	78.99022	00.00000	62.79022	00.00000	93.79022	00.00000	43.39022	00.00000	49.59022	00.00000	90.79022	00.00000	86.39022	00.00000
154.00000	78.98196	00.00000	62.78196	00.00000	93.78196	00.00000	43.38196	00.00000	49.58196	00.00000	90.78196	00.00000	86.38196	00.00000
155.00000	78.97370	00.00000	62.77370	00.00000	93.77370	00.00000	43.37370	00.00000	49.57370	00.00000	90.77370	00.00000	86.37370	00.00000
156.00000	78.96544	00.00000	62.76544	00.00000	93.76544	00.00000	43.36544	00.00000	49.56544	00.00000	90.76544	00.00000	86.36544	00.00000
157.00000	78.95718	00.00000	62.75718	00.00000	93.75718	00.00000	43.35718	00.00000	49.55718	00.00000	90.75718	00.00000	86.35718	00.00000
158.00000	78.94892	00.00000	62.74892	00.00000	93.74892	00.00000	43.34892	00.00000	49.54892	00.00000	90.74892	00.00000	86.34892	00.00000
159.00000	78.94066	00.00000	62.74066	00.00000	93.74066	00.00000	43.34066	00.00000	49.54066	00.00000	90.74066	00.00000	86.34066	00.00000
160.00000	78.93240	00.00000	62.73240	00.00000	93.73240	00.00000	43.33240	00.00000	49.53240	00.00000	90.73240	00.00000	86.33240	00.00000
161.00000	78.92414	00.00000	62.72414	00.00000	93.72414	00.00000	43.32414	00.00000	49.52414	00.00000	90.72414	00.00000	86.32414	00.00000
162.00000	78.91588	00.00000	62.71588	00.00000	93.71588	00.00000	43.31588	00.00000	49.51588	00.00000	90.71588	00.00000	86.31588	01.00000
163.00000	78.90762	00.00000	62.70762	00.00000	93.70762	00.00000	43.30762	00.00000	49.50762	00.00000	90.70762	00.00000	86.30762	00.00000
164.00000	78.89936	00.00000	62.69936	00.00000	93.69936	00.00000	43.29936	00.00000	49.49936	00.00000	90.69936	00.00000	86.29936	00.00000
165.00000	78.89110	00.00000	62.69110	00.00000	93.69110	00.00000	43.29110	00.00000	49.49110	00.00000	90.69110	00.00000	86.29110	00.00000
166.00000	78.88284	00.00000	62.68284	00.00000	93.68284	00.00000	43.28284	00.00000	49.48284	00.00000	90.68284	00.00000	86.28284	01.00000
167.00000	78.87458	01.00000	62.67458	00.00000	93.67458	00.00000	43.27458	00.00000	49.47458	01.00000	90.67458	00.00000	86.27458	01.00000
168.00000	78.86632	00.00000	62.66632	00.00000	93.66632	00.00000	43.26632	00.00000	49.46632	00.00000	90.66632	00.00000	86.26632	01.00000
169.00000	78.85806	01.00000	62.65806	01.00000	93.65806	00.00000	43.25806	00.00000	49.45806	00.00000	90.65806	02.00000	86.25806	02.00000
